,종목코드,현재가,지배자본,BPS,ROE15,ROE16,ROE17,ROE18,ROE19,EPS15,EPS16,EPS17,EPS18,EPS19,발행주식수,영익18-1,영익18-2,영익18-3,영익18-4,영익19-1,순익18-1,순익18-2,순익18-3,순익18-4,순익19-1
15,A251270,115500,43744.0,53181.0,14.83,15.29,11.17,4.36,5.51,2050.0,2718.0,3900.0,2227.0,2903.0,85266.0,742.0,622.0,673.0,380.0,339.0,789.0,663.0,551.0,146.0,423.0
16,A216050,25850,629.0,8808.0,-0.68,18.55,15.26,13.82,14.71,-22.0,941.0,1071.0,1084.0,1242.0,8012.0,30.0,25.0,30.0,12.0,30.0,23.0,20.0,22.0,11.0,24.0
17,A089600,49550,1321.0,15088.0,15.01,14.09,22.56,15.03,16.06,1202.0,1413.0,2805.0,2161.0,2597.0,8755.0,63.0,50.0,66.0,80.0,80.0,53.0,42.0,53.0,63.0,61.0
18,A230360,38500,867.0,5353.0,44.63,14.18,10.94,19.46,53.63,667.0,453.0,475.0,949.0,1892.0,16199.0,28.0,43.0,78.0,103.0,113.0,31.0,38.0,72.0,91.0,100.0
19,A003960,20500,2226.0,37327.0,7.63,3.82,14.53,4.56,0.0,2052.0,1147.0,4813.0,1663.0,0.0,5961.0,124.0,119.0,224.0,-105.0,38.0,97.0,91.0,140.0,-184.0,16.0
20,A065510,10500,839.0,7396.0,10.08,15.15,3.99,8.72,10.02,575.0,932.0,262.0,597.0,738.0,11883.0,29.0,25.0,16.0,15.0,29.0,37.0,15.0,11.0,11.0,0.0
21,A183300,28350,941.0,10722.0,26.71,30.96,34.4,36.03,33.8,1022.0,1515.0,2170.0,3363.0,3624.0,8775.0,102.0,100.0,115.0,92.0,100.0,74.0,73.0,90.0,62.0,0.0
22,A000050,10450,7088.0,26058.0,2.55,4.39,3.67,2.87,0.0,609.0,1075.0,923.0,737.0,0.0,27415.0,104.0,111.0,110.0,85.0,89.0,52.0,63.0,48.0,38.0,36.0
23,A003690,8680,22376.0,18883.0,9.67,7.75,6.22,4.68,0.0,1549.0,1330.0,1105.0,855.0,0.0,120369.0,695.0,786.0,-179.0,133.0,842.0,530.0,593.0,-137.0,43.0,636.0
24,A108670,55800,9167.0,91875.0,8.44,8.29,7.06,-5.59,2.55,7178.0,7514.0,6786.0,-5313.0,2368.0,8968.0,149.0,186.0,87.0,282.0,110.0,53.0,31.0,-30.0,-584.0,-9.0
25,A078930,49950,84904.0,89662.0,8.05,12.13,13.42,11.14,11.74,5198.0,8508.0,10414.0,9537.0,11107.0,92915.0,5572.0,6914.0,4053.0,5127.0,6183.0,2206.0,3512.0,1863.0,2058.0,2490.0
26,A002350,10350,14248.0,13706.0,12.81,15.66,9.88,7.5,8.41,1217.0,1689.0,1208.0,994.0,1196.0,97668.0,461.0,522.0,521.0,485.0,510.0,207.0,286.0,289.0,260.0,337.0
27,A161390,35750,67655.0,54625.0,13.59,15.75,9.73,7.96,7.79,5291.0,7046.0,4836.0,4216.0,4405.0,123875.0,1848.0,1853.0,1875.0,1450.0,1401.0,1535.0,1705.0,1331.0,732.0,1078.0
28,A044960,5370,345.0,2899.0,3.44,7.14,4.89,3.14,0.0,89.0,191.0,133.0,86.0,0.0,12642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,A267250,306000,77275.0,504527.0,0.0,0.0,0.0,3.53,7.33,0.0,0.0,67660.0,16493.0,35580.0,16287.0,3280.0,3413.0,3561.0,-1639.0,1445.0,2360.0,1737.0,2395.0,-3652.0,976.0
30,A005090,39150,2790.0,57464.0,8.4,6.12,1.78,-4.05,0.0,4699.0,3621.0,1064.0,-2379.0,0.0,4854.0,-17.0,-96.0,-24.0,-143.0,-50.0,-37.0,7.0,-67.0,-17.0,3.0
31,A030200,27250,132027.0,53745.0,5.22,6.38,4.1,5.5,5.81,2118.0,2723.0,1826.0,2637.0,2988.0,261112.0,3971.0,3991.0,3695.0,958.0,4021.0,2241.0,2807.0,2395.0,181.0,2598.0
32,A004780,5450,1036.0,6517.0,17.34,16.75,9.95,3.56,0.0,810.0,912.0,605.0,228.0,0.0,15903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,A040610,1990,2470.0,7502.0,3.08,7.01,-0.33,-1.31,0.0,208.0,511.0,-25.0,-96.0,0.0,34087.0,43.0,-5.0,87.0,-36.0,120.0,51.0,49.0,20.0,-180.0,64.0
34,A222980,10600,276.0,5745.0,13.08,10.34,4.52,2.42,0.0,650.0,552.0,254.0,136.0,0.0,4975.0,4.0,3.0,-4.0,5.0,6.0,3.0,4.0,-3.0,4.0,6.0
35,A000880,26600,41854.0,42959.0,-6.7,11.48,9.06,10.73,12.29,-3778.0,6087.0,4140.0,4784.0,5700.0,74959.0,5236.0,7061.0,5900.0,-135.0,2595.0,5307.0,4161.0,2368.0,-3843.0,1739.0
36,A051910,332000,170830.0,222761.0,9.18,9.51,12.92,8.86,7.49,15602.0,17336.0,24854.0,18812.0,16756.0,70592.0,7033.0,6024.0,2896.0,2754.0,4984.0,4934.0,3466.0,1266.0,2119.0,3428.0
37,A004960,17550,4393.0,37955.0,9.93,10.8,23.63,41.29,0.0,2076.0,2607.0,6602.0,14008.0,0.0,11571.0,1201.0,238.0,157.0,548.0,242.0,936.0,129.0,87.0,469.0,184.0
38,A042110,1565,1025.0,2120.0,14.11,7.7,3.62,7.83,0.0,240.0,145.0,72.0,162.0,0.0,48330.0,14.0,8.0,18.0,9.0,4.0,8.0,15.0,47.0,8.0,7.0
39,A067010,4240,432.0,6064.0,13.28,13.0,6.59,6.97,0.0,620.0,667.0,359.0,393.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,A040910,8800,1314.0,8461.0,0.3,10.17,19.84,22.47,18.54,16.0,629.0,1472.0,1789.0,1580.0,16746.0,139.0,87.0,43.0,127.0,4.0,149.0,-9.0,22.0,136.0,11.0
41,A170030,3215,979.0,6457.0,20.18,17.38,6.46,1.04,0.0,1001.0,1010.0,406.0,66.0,0.0,15340.0,-14.0,1.0,-19.0,27.0,13.0,-8.0,12.0,-17.0,24.0,16.0
42,A034020,6030,28048.0,21208.0,-25.21,-4.84,-8.51,-16.92,2.4,-8307.0,-1366.0,-2336.0,-3983.0,400.0,123396.0,3615.0,2117.0,1232.0,3223.0,3790.0,523.0,459.0,-5431.0,528.0,0.0
43,A149980,7030,378.0,3599.0,6.24,1.66,1.85,-0.67,0.0,203.0,51.0,54.0,-18.0,0.0,14095.0,0.0,6.0,-5.0,-2.0,6.0,1.0,9.0,-4.0,-4.0,13.0
44,A008470,5580,710.0,8448.0,8.61,9.93,6.86,4.26,0.0,601.0,746.0,552.0,355.0,0.0,8405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,A002170,63900,2928.0,98188.0,4.65,9.51,9.56,8.96,9.78,3509.0,7618.0,8310.0,8432.0,10000.0,3000.0,58.0,65.0,78.0,121.0,85.0,50.0,55.0,62.0,86.0,74.0
46,A023810,3935,1024.0,10240.0,10.91,8.98,-1.47,1.63,0.0,1057.0,933.0,-152.0,166.0,0.0,10000.0,-11.0,19.0,-28.0,52.0,-34.0,-6.0,7.0,-35.0,57.0,-29.0
47,A035420,113000,52403.0,39663.0,26.46,26.2,18.5,12.97,10.01,3147.0,4546.0,4689.0,3937.0,3325.0,164813.0,2570.0,2506.0,2217.0,2133.0,2062.0,1538.0,2818.0,684.0,1240.0,876.0
48,A114090,21450,5621.0,9087.0,20.67,23.46,15.33,14.21,15.91,1483.0,1849.0,1302.0,1257.0,1446.0,61856.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,87.0
49,A126700,8850,1170.0,8670.0,13.25,6.53,23.24,20.91,0.0,634.0,339.0,1374.0,1498.0,0.0,14942.0,78.0,65.0,39.0,19.0,22.0,60.0,87.0,42.0,14.0,36.0
50,A234080,26200,1093.0,6900.0,16.1,17.51,17.45,14.97,18.06,812.0,958.0,1060.0,999.0,1370.0,15835.0,41.0,57.0,72.0,65.0,79.0,30.0,31.0,52.0,46.0,59.0
51,A023910,35800,1404.0,23394.0,19.55,20.8,23.78,22.26,0.0,2296.0,2943.0,4139.0,4753.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,A048260,71000,1086.0,9727.0,18.14,22.05,9.3,11.45,28.64,1256.0,1645.0,708.0,888.0,2475.0,14286.0,69.0,72.0,122.0,47.0,126.0,40.0,30.0,-22.0,15.0,92.0
53,A145720,71500,1941.0,19256.0,32.42,33.68,26.05,19.25,19.28,1308.0,1788.0,2716.0,3095.0,3693.0,11069.0,105.0,128.0,101.0,86.0,106.0,95.0,112.0,68.0,67.0,92.0
54,A078140,7820,746.0,6731.0,13.78,14.2,10.8,8.65,11.26,645.0,757.0,644.0,561.0,758.0,11087.0,21.0,24.0,15.0,18.0,18.0,19.0,23.0,10.0,13.0,15.0
55,A004870,2145,1852.0,2455.0,5.54,7.41,45.49,18.49,0.0,36.0,51.0,419.0,329.0,0.0,75437.0,12.0,113.0,-140.0,363.0,0.0,-57.0,41.0,-47.0,192.0,0.0
56,A069960,86200,41325.0,181282.0,7.2,7.72,6.63,5.91,5.45,10294.0,11784.0,10841.0,10211.0,9865.0,23402.0,1028.0,753.0,799.0,987.0,751.0,913.0,487.0,658.0,816.0,671.0
57,A063760,13300,665.0,14462.0,0.0,56.06,40.41,24.7,0.0,767.0,2688.0,3441.0,3023.0,0.0,4906.0,69.0,19.0,31.0,32.0,-4.0,63.0,24.0,29.0,32.0,0.0
58,A083310,8250,1215.0,9395.0,11.98,10.72,26.09,14.45,0.0,620.0,622.0,1846.0,1241.0,0.0,13258.0,91.0,84.0,11.0,3.0,5.0,81.0,66.0,11.0,10.0,12.0
59,A241770,14050,1382.0,14121.0,25.44,13.1,42.16,22.5,0.0,596.0,373.0,3721.0,2883.0,0.0,9991.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,29.0
60,A084370,11950,2340.0,10561.0,11.53,16.45,12.52,8.27,10.8,892.0,1412.0,1204.0,838.0,1149.0,22916.0,105.0,60.0,19.0,62.0,168.0,93.0,38.0,-77.0,35.0,126.0
61,A003160,4085,1355.0,4521.0,1.25,0.89,15.19,7.86,7.01,45.0,32.0,582.0,330.0,302.0,31497.0,102.0,68.0,-32.0,-20.0,0.0,80.0,57.0,-45.0,-2.0,0.0
62,A042700,7150,2156.0,4614.0,10.93,15.59,4.57,23.37,0.0,343.0,495.0,149.0,805.0,0.0,57224.0,107.0,248.0,152.0,60.0,2.0,101.0,219.0,122.0,50.0,6.0
63,A030190,15050,1984.0,3375.0,17.69,19.6,18.77,20.71,19.9,366.0,466.0,505.0,631.0,698.0,60715.0,126.0,160.0,113.0,88.0,138.0,99.0,124.0,83.0,77.0,107.0
64,A130580,7990,452.0,2935.0,16.12,18.08,17.75,22.21,19.9,283.0,366.0,417.0,604.0,643.0,15400.0,26.0,62.0,13.0,3.0,16.0,23.0,50.0,13.0,6.0,16.0
65,A034950,61800,871.0,19689.0,13.32,15.91,17.67,18.51,0.0,2324.0,2943.0,3401.0,3567.0,0.0,4541.0,32.0,177.0,42.0,3.0,48.0,26.0,136.0,35.0,5.0,41.0
66,A005930,43500,2400690.0,35342.0,11.16,12.48,21.01,19.63,9.06,2198.0,2735.0,5421.0,6024.0,3288.0,5969783.0,148690.0,175749.0,108006.0,62333.0,60235.0,110434.0,131507.0,84622.0,50436.0,47231.0
67,A064960,36500,7276.0,52461.0,13.84,5.01,8.12,7.77,0.04,5853.0,2295.0,3888.0,3848.0,18.0,14623.0,164.0,147.0,155.0,139.0,167.0,303.0,104.0,77.0,-573.0,129.0
68,A010130,433500,62500.0,334050.0,10.49,11.18,10.96,8.64,10.11,26994.0,31395.0,33336.0,27950.0,34654.0,18870.0,2181.0,1951.0,1514.0,1775.0,2439.0,1527.0,1409.0,937.0,1534.0,1823.0
69,A003540,13250,19692.0,24716.0,8.07,4.22,6.36,7.34,8.69,1569.0,853.0,1336.0,1623.0,1973.0,50773.0,743.0,671.0,256.0,-85.0,558.0,571.0,529.0,377.0,-70.0,453.0
70,A103140,24850,13772.0,49149.0,4.83,11.84,11.86,4.62,5.76,1841.0,4910.0,5372.0,2212.0,2900.0,28024.0,452.0,315.0,115.0,193.0,158.0,372.0,206.0,12.0,32.0,91.0
71,A001680,25750,9151.0,25405.0,7.51,7.87,6.13,7.27,9.42,1618.0,1794.0,1464.0,1801.0,2482.0,34648.0,354.0,414.0,132.0,381.0,390.0,406.0,209.0,-151.0,237.0,235.0
72,A097950,278000,47828.0,298085.0,6.18,8.42,10.91,21.46,6.89,13073.0,19044.0,25537.0,54191.0,20647.0,15054.0,2103.0,1846.0,2652.0,1727.0,1791.0,721.0,7834.0,1208.0,-509.0,409.0
73,A064760,59700,1841.0,15772.0,14.93,21.86,28.75,28.43,0.0,1128.0,1948.0,3195.0,4013.0,0.0,11675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,A092070,7090,901.0,9020.0,33.42,15.83,17.34,16.46,0.0,1605.0,970.0,1230.0,1312.0,0.0,10762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,A101160,7010,711.0,4308.0,-8.34,1.23,13.94,28.23,26.43,-257.0,34.0,421.0,1064.0,1139.0,16511.0,58.0,68.0,60.0,58.0,55.0,49.0,52.0,48.0,50.0,0.0
76,A036490,156300,3762.0,53676.0,18.92,27.24,25.25,29.57,33.0,6270.0,10299.0,9660.0,10682.0,13486.0,10548.0,408.0,512.0,571.0,545.0,557.0,262.0,385.0,359.0,356.0,388.0
77,A166090,14900,1197.0,6227.0,29.22,24.52,30.56,35.33,0.0,531.0,610.0,1098.0,1892.0,0.0,19216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,A104830,21700,2810.0,22285.0,11.82,7.56,9.06,16.27,9.61,1761.0,1251.0,1627.0,3336.0,2221.0,12608.0,67.0,115.0,155.0,85.0,70.0,64.0,148.0,85.0,115.0,55.0
79,A074600,11450,2104.0,8003.0,15.98,34.61,18.11,21.25,18.28,585.0,1659.0,1100.0,1541.0,1621.0,26288.0,129.0,114.0,62.0,72.0,119.0,129.0,81.0,103.0,57.0,110.0
80,A036830,49350,7255.0,42659.0,17.57,14.2,6.85,14.53,15.9,4878.0,4514.0,2467.0,5722.0,7153.0,17398.0,432.0,468.0,361.0,431.0,454.0,241.0,344.0,68.0,431.0,346.0
81,A014680,85100,3798.0,33804.0,15.01,21.29,17.99,20.12,20.91,3023.0,4942.0,4804.0,6238.0,7765.0,11295.0,255.0,330.0,130.0,282.0,301.0,156.0,229.0,101.0,236.0,224.0
82,A093370,7420,2080.0,2246.0,20.56,52.17,18.23,16.04,17.32,158.0,659.0,319.0,333.0,428.0,92607.0,98.0,157.0,104.0,37.0,60.0,67.0,106.0,75.0,32.0,40.0
83,A004490,43550,9820.0,70921.0,10.76,7.88,7.76,10.32,0.0,5628.0,4484.0,4754.0,6897.0,0.0,14000.0,231.0,273.0,413.0,302.0,0.0,220.0,234.0,321.0,268.0,0.0
84,A037460,12250,1876.0,11661.0,16.71,17.06,17.28,7.62,0.0,1048.0,1387.0,1659.0,822.0,0.0,16319.0,66.0,78.0,130.0,51.0,93.0,61.0,91.0,93.0,54.0,93.0
85,A031330,1790,2141.0,2194.0,38.01,28.08,16.27,15.67,0.0,401.0,427.0,295.0,319.0,0.0,99995.0,86.0,97.0,90.0,66.0,101.0,79.0,123.0,66.0,50.0,101.0
86,A067170,12100,1390.0,9153.0,2.4,11.71,17.45,11.25,16.42,165.0,810.0,1413.0,964.0,1598.0,15392.0,51.0,100.0,129.0,18.0,46.0,31.0,54.0,93.0,9.0,30.0
87,A013570,5730,3397.0,13256.0,5.91,4.54,6.19,1.75,0.0,815.0,565.0,790.0,227.0,0.0,26320.0,179.0,133.0,33.0,142.0,0.0,142.0,67.0,-73.0,115.0,0.0
88,A008060,11900,9839.0,12633.0,6.84,5.06,7.22,35.2,7.12,627.0,479.0,730.0,5152.0,949.0,78007.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,141.0
89,A000810,277000,123640.0,273846.0,8.28,8.15,9.16,8.79,7.18,16043.0,16967.0,20819.0,21170.0,18253.0,47375.0,4092.0,5093.0,3244.0,2114.0,0.0,3004.0,3750.0,2403.0,1576.0,0.0
90,A016250,112300,2838.0,104957.0,12.57,16.58,11.73,13.14,16.1,8518.0,12859.0,10344.0,12762.0,16321.0,2800.0,98.0,524.0,210.0,298.0,340.0,13.0,347.0,93.0,258.0,193.0
91,A005440,12550,17082.0,18243.0,6.4,6.39,7.12,6.1,6.65,929.0,971.0,1161.0,1056.0,1196.0,97704.0,387.0,428.0,331.0,226.0,269.0,368.0,448.0,314.0,143.0,364.0
92,A051500,29150,1958.0,16496.0,5.46,-2.36,-0.83,7.29,10.39,915.0,-393.0,-129.0,1154.0,1794.0,11872.0,60.0,138.0,133.0,176.0,66.0,17.0,33.0,50.0,67.0,-15.0
93,A031440,89900,3169.0,81840.0,2.34,4.89,6.73,2.69,5.48,1727.0,3690.0,5323.0,2198.0,4579.0,3872.0,69.0,56.0,48.0,32.0,71.0,37.0,29.0,-49.0,9.0,43.0
94,A011170,264500,127347.0,371541.0,14.22,21.74,21.52,13.04,9.53,28957.0,53561.0,65466.0,46074.0,36622.0,34275.0,7013.0,5036.0,1004.0,2957.0,3831.0,5790.0,4543.0,654.0,2237.0,3510.0
95,A068930,10050,683.0,3290.0,8.74,11.14,10.78,8.48,23.51,236.0,316.0,325.0,260.0,792.0,22445.0,-13.0,50.0,105.0,-16.0,18.0,-13.0,40.0,79.0,-8.0,14.0
96,A108230,9430,3347.0,9958.0,9.73,15.34,57.85,5.96,0.0,360.0,702.0,4065.0,537.0,0.0,36796.0,128.0,14.0,29.0,-89.0,4.0,113.0,117.0,45.0,-98.0,39.0
97,A052330,14700,2898.0,19171.0,12.27,16.56,8.61,12.72,0.0,1694.0,2424.0,1394.0,2250.0,0.0,15575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,A029460,14600,3650.0,27708.0,16.27,15.99,27.73,67.41,0.0,1284.0,1436.0,2439.0,14365.0,0.0,13554.0,143.0,277.0,126.0,215.0,129.0,160.0,1573.0,150.0,223.0,141.0
99,A281820,13850,2570.0,12958.0,0.0,0.0,0.0,23.54,0.0,0.0,0.0,563.0,2741.0,0.0,19839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,A102460,17250,2235.0,13627.0,6.07,5.39,6.46,0.61,0.0,676.0,638.0,768.0,80.0,0.0,16770.0,44.0,15.0,15.0,-48.0,29.0,8.0,41.0,4.0,-40.0,28.0
101,A032620,5920,1017.0,2017.0,14.64,11.04,7.65,7.78,8.43,154.0,126.0,88.0,119.0,169.0,52197.0,14.0,31.0,33.0,14.0,31.0,10.0,20.0,23.0,8.0,22.0
102,A032850,4795,421.0,2607.0,13.8,10.97,8.71,-0.55,0.0,279.0,250.0,216.0,-14.0,0.0,16623.0,12.0,-9.0,5.0,-30.0,11.0,16.0,-4.0,7.0,-21.0,18.0
103,A071200,6630,773.0,3173.0,9.54,10.78,2.2,6.66,0.0,232.0,291.0,63.0,202.0,0.0,24396.0,-12.0,8.0,26.0,7.0,0.0,4.0,3.0,33.0,19.0,0.0
104,A263700,16350,597.0,9685.0,0.0,31.75,28.27,8.54,0.0,638.0,773.0,1094.0,605.0,0.0,6168.0,14.0,14.0,2.0,9.0,0.0,11.0,12.0,1.0,1.0,0.0
105,A091340,4280,736.0,6480.0,3.87,5.36,5.92,11.67,0.0,222.0,328.0,374.0,710.0,0.0,11704.0,25.0,35.0,49.0,26.0,44.0,0.0,61.0,23.0,-1.0,32.0
106,A004370,248500,18851.0,323198.0,7.4,11.64,5.01,4.54,5.06,19291.0,32764.0,14905.0,13858.0,15968.0,6083.0,344.0,65.0,217.0,260.0,316.0,321.0,76.0,195.0,250.0,291.0
107,A007310,723000,12080.0,394937.0,11.86,13.94,12.34,13.87,11.5,30365.0,39977.0,38161.0,45925.0,40081.0,3605.0,385.0,385.0,404.0,343.0,529.0,307.0,337.0,792.0,173.0,313.0
108,A014530,3395,1599.0,4716.0,11.58,10.34,10.48,10.57,0.0,415.0,401.0,433.0,467.0,0.0,34869.0,45.0,50.0,43.0,48.0,36.0,31.0,42.0,30.0,60.0,28.0
109,A051600,30400,9841.0,21870.0,22.9,11.2,16.04,17.08,13.67,3776.0,1962.0,3021.0,3585.0,3083.0,45000.0,640.0,162.0,884.0,181.0,599.0,511.0,143.0,745.0,159.0,486.0
110,A033200,4725,738.0,6906.0,-1.76,2.24,-4.84,1.42,0.0,-126.0,161.0,-300.0,73.0,0.0,14331.0,-2.0,4.0,0.0,5.0,0.0,-5.0,4.0,2.0,0.0,0.0
111,A015350,37950,6236.0,58689.0,8.66,9.51,8.0,8.17,0.0,3778.0,4517.0,4092.0,4476.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,A017390,83900,9436.0,197794.0,5.22,2.64,4.04,4.46,0.0,8900.0,4640.0,7265.0,8276.0,0.0,5000.0,197.0,-41.0,-172.0,60.0,179.0,239.0,42.0,-37.0,174.0,188.0
113,A015360,42100,5862.0,105692.0,2.7,5.81,3.61,1.15,0.0,2633.0,5842.0,3772.0,1173.0,0.0,6000.0,155.0,56.0,-64.0,104.0,146.0,164.0,97.0,1.0,-155.0,171.0
114,A071320,52200,15602.0,134743.0,6.9,7.19,3.85,-13.36,0.63,10003.0,10943.0,6035.0,-19564.0,855.0,11579.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,565.0
115,A030610,10850,8814.0,24649.0,12.14,8.7,9.39,9.11,0.0,2193.0,1731.0,2037.0,2148.0,0.0,36000.0,250.0,358.0,230.0,95.0,376.0,198.0,287.0,197.0,91.0,286.0
116,A023890,68000,3138.0,63514.0,13.04,15.31,17.6,17.32,0.0,5973.0,5542.0,4648.0,5462.0,0.0,9150.0,111.0,171.0,114.0,247.0,194.0,84.0,149.0,87.0,180.0,150.0
117,A258610,3770,242.0,3412.0,0.0,42.71,4.3,12.07,0.0,159.0,604.0,113.0,385.0,0.0,7381.0,7.0,9.0,7.0,-2.0,5.0,5.0,9.0,5.0,9.0,2.0
118,A000490,5660,2119.0,9178.0,1.47,-8.19,4.54,0.58,0.0,141.0,-755.0,405.0,52.0,0.0,23728.0,67.0,111.0,-52.0,-74.0,110.0,69.0,78.0,-64.0,-69.0,89.0
119,A298050,114000,3858.0,86544.0,0.0,0.0,0.0,0.0,20.15,0.0,0.0,0.0,-5907.0,19353.0,4480.0,0.0,219.0,319.0,103.0,549.0,0.0,15.0,26.0,-279.0,295.0
120,A298020,153000,4037.0,93961.0,0.0,0.0,0.0,0.0,21.53,0.0,0.0,0.0,4909.0,22156.0,4328.0,0.0,226.0,611.0,414.0,547.0,0.0,20.0,212.0,84.0,316.0
121,A008490,32950,2736.0,24920.0,10.16,11.02,8.73,9.47,0.0,1974.0,2360.0,1995.0,2225.0,0.0,11569.0,120.0,80.0,90.0,125.0,0.0,108.0,42.0,61.0,123.0,0.0
122,A026960,20100,12641.0,12835.0,11.18,10.37,10.21,9.39,0.0,1220.0,1194.0,1227.0,1169.0,0.0,99700.0,105.0,95.0,110.0,117.0,0.0,291.0,316.0,200.0,399.0,0.0
123,A105560,46200,357039.0,87710.0,6.07,7.18,10.18,8.78,8.69,4396.0,5458.0,7920.0,7321.0,7668.0,418112.0,12272.0,13240.0,13282.0,3881.0,11592.0,9684.0,9468.0,9540.0,1928.0,8459.0
124,A055550,46050,357256.0,75668.0,7.89,8.96,9.13,9.21,8.98,4878.0,5810.0,6155.0,6657.0,6878.0,474200.0,11758.0,13340.0,11326.0,8569.0,13103.0,8690.0,9481.0,8575.0,5237.0,9658.0
125,A316140,14050,,,,,,,,,,,,,,,,,,,,,,,
