,종목코드,현재가,지배자본,BPS,ROE15,ROE16,ROE17,ROE18,ROE19,EPS15,EPS16,EPS17,EPS18,EPS19,발행주식수,영익18-1,영익18-2,영익18-3,영익18-4,영익19-1,순익18-1,순익18-2,순익18-3,순익18-4,순익19-1
0,A035250,30700,35867.0,17579.0,15.49,14.55,12.96,8.39,10.11,2064.0,2125.0,2046.0,1390.0,1746.0,213941.0,1260.0,1150.0,1239.0,658.0,1251.0,904.0,946.0,933.0,190.0,1024.0
1,A008560,4855,33734.0,4808.0,22.62,14.11,13.79,13.0,13.58,726.0,511.0,559.0,602.0,688.0,605641.0,1351.0,1269.0,1412.0,1291.0,1659.0,1034.0,1090.0,1073.0,1142.0,1413.0
2,A067900,8140,1166.0,6406.0,4.88,6.36,11.3,8.06,12.11,253.0,361.0,632.0,496.0,830.0,18200.0,32.0,37.0,35.0,46.0,43.0,24.0,15.0,30.0,22.0,30.0
3,A151860,3715,1501.0,4277.0,15.77,3.58,8.21,7.58,9.99,562.0,137.0,326.0,313.0,433.0,36000.0,0.0,0.0,37.0,0.0,51.0,0.0,0.0,27.0,0.0,37.0
4,A102260,5920,2828.0,6528.0,8.65,13.34,3.32,-1.11,0.0,496.0,824.0,216.0,-71.0,0.0,45445.0,47.0,46.0,26.0,-41.0,147.0,66.0,21.0,-19.0,-116.0,92.0
5,A004380,11100,1881.0,9000.0,12.29,10.66,16.56,9.8,0.0,848.0,787.0,1345.0,862.0,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A016800,33900,4206.0,41458.0,8.79,6.43,5.86,11.3,0.0,2608.0,2016.0,1918.0,3956.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A122450,7300,2044.0,9257.0,10.13,21.83,20.6,23.7,0.0,466.0,1191.0,1359.0,1874.0,0.0,22319.0,32.0,137.0,122.0,56.0,28.0,40.0,205.0,472.0,-47.0,1.0
8,A127710,2450,1063.0,4211.0,12.44,9.34,13.14,31.09,0.0,228.0,208.0,360.0,1138.0,0.0,25244.0,12.0,36.0,14.0,-4.0,6.0,21.0,28.0,249.0,-3.0,31.0
9,A029960,12200,1487.0,2976.0,8.91,14.17,13.6,17.86,20.38,167.0,294.0,321.0,490.0,606.0,50000.0,65.0,78.0,73.0,76.0,0.0,48.0,72.0,58.0,66.0,0.0
10,A023590,23250,11999.0,26947.0,12.8,10.95,11.53,9.78,13.43,2297.0,2173.0,2554.0,2460.0,3593.0,44867.0,1233.0,950.0,901.0,155.0,2119.0,955.0,871.0,559.0,-132.0,1607.0
11,A229640,6910,1249.0,4078.0,0.0,11.48,10.69,8.18,13.03,358.0,436.0,419.0,323.0,555.0,30625.0,53.0,38.0,41.0,47.0,60.0,34.0,22.0,19.0,31.0,42.0
12,A268280,73200,2203.0,42201.0,0.0,0.0,0.0,17.74,0.0,0.0,0.0,3320.0,6930.0,0.0,5221.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,93.0
13,A181710,76800,15823.0,83221.0,13.37,0.87,1.12,5.79,5.36,8813.0,639.0,849.0,4567.0,4455.0,19565.0,154.0,149.0,218.0,166.0,217.0,633.0,256.0,261.0,-102.0,111.0
14,A034310,22000,6443.0,17008.0,6.09,10.65,9.21,10.01,9.91,737.0,1379.0,1299.0,1588.0,1764.0,37882.0,287.0,480.0,292.0,224.0,208.0,221.0,323.0,213.0,236.0,223.0
